Species,Host,Year,Location,Region,Haplogroup,Approx.X,Approx.Y,Description
Vdestructor,Amellifera,2006-2007,Spain,Huelva,Korea,37.26142,-6.94472,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Didim",Korea,37.367115,27.272112,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2006-2007,Spain,Seville,Korea,37.38909,-5.98445,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2015-2016,Iran,Shirvan,Korea,37.40923,57.92761,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,1996,Korea,Seoul,Korea,37.459608,126.948541,Year: 1996 Ref: Navajas et al. (2010)
Vdestructor,Amellifera,2015-2016,Iran,Bojnourd,Korea,37.4702,57.31433,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Karpuzlu",Korea,37.559496,27.835085,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Çine",Korea,37.615227,28.060304,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2015-2016,Iran,Khalkhal,Korea,37.62054,48.53302,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2001,China,"Yuci, Shanxi Prov.",Korea,37.66302,111.65369,Year: 2001 Ref: Zhou et al. (2004)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Bozdo?an",Korea,37.672009,28.317311,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Karacasu",Korea,37.725959,28.605874,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Söke",Korea,37.749581,27.402066,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2006-2007,Spain,Jaén,Korea,37.77959,-3.7849,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2015-2016,Iran,Talesh,Korea,37.80165,48.90713,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Yenipazar",Korea,37.824305,28.196727,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, Merkez",Korea,37.824322,27.819965,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
Vdestructor,Amellifera,2014-2015,Turkey,"Aydin region, ?ncirliova",Korea,37.851846,27.723867,Year: 2014-2015 Ref: Ayan and Aldemir (2018)
