Species,Host,Year,Location,Region,Haplogroup,GROUP,coord.X,coord.Y,Coord.type,Description,Source
V. destructor,A. cerana,2013,Viet Nam,NA,VD_Viet_Nam_V1,VD_Viet_Nam_V1,21.23,103.01,exact,Year: 2013 Accession: KR528380,NCBI
V. destructor,A. cerana,1996,Viet Nam,"Phjong, Ninh Binh Prov.",VD_Viet_Nam_V1,VD_Viet_Nam_V1,20.30896,105.64215,approximate,Year:1996 Ref:Anderson and Trueman (2000),Litterature
V. destructor,A. cerana,2013,Viet Nam,Son La,VD_Viet_Nam_V1,VD_Viet_Nam_V1,21.19,103.54,exact,Year:2013 Ref:Beaurepaire et al. (2015),Litterature
V. destructor,A. cerana,2013,Viet Nam,Son La,VD_Viet_Nam_V1,VD_Viet_Nam_V1,21.19,103.54,exact,Year:2013 Ref:Beaurepaire et al. (2015),Litterature
V. destructor,A. cerana,1999?,Viet Nam,Vu Quang,VD_Viet_Nam_V1,VD_Viet_Nam_V1,18.387901,105.486822,approximate,Year:1999? Ref:Fuchs et al. (2000) ,Litterature
V. destructor,A. mellifera,2005?,Argentina,A,VD_Korea_K1,VD_K_type,-34.599126,-58.373067,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,NA,Argentina,"Ascasubi, Buenos Aires",VD_Korea_K1,VD_K_type,-39.3666667,-62.63333333,exact,Year: Ref:Muntaabski et al. (2020),Litterature
V. destructor,A. mellifera,2005?,Argentina,B,VD_Korea_K1,VD_K_type,-34.599126,-58.373067,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,NA,Argentina,"Balcarce, Buenos Aires",VD_Korea_K1,VD_K_type,-37.8166667,-58.25,exact,Year: Ref:Muntaabski et al. (2020),Litterature
V. destructor,A. mellifera,2006-2009,Argentina,Buenos Aires,VD_Korea_K1,VD_K_type,-34.59912,-58.37306,approximate,Year:2006-2009 Ref:Maggi et al. (2012),Litterature
V. destructor,A. mellifera,NA,Argentina,"Castelar, Buenos Aires",VD_Korea_K1,VD_K_type,-34.6666667,-58.66666667,exact,Year: Ref:Muntaabski et al. (2020),Litterature
V. destructor,A. mellifera,NA,Argentina,"Castelli, Chaco",VD_Korea_K1,VD_K_type,-25.95,-60.61666667,exact,Year: Ref:Muntaabski et al. (2020),Litterature
V. destructor,A. mellifera,2006-2009,Argentina,Corrientes,VD_Korea_K1,VD_K_type,-27.46921,-58.83063,approximate,Year:2006-2009 Ref:Maggi et al. (2012),Litterature
V. destructor,A. mellifera,2006-2009,Argentina,Entre Rios,VD_Korea_K1,VD_K_type,-31.77466,-60.49564,approximate,Year:2006-2009 Ref:Maggi et al. (2012),Litterature
