Species,Host,Year,Location,Haplogroup,GROUP,Description
V. destructor,A. mellifera,2011,Madagascar,VD_Korea_K1,VD_K_type,Year:2011 Ref:Rasolofoarivao et al. (2013)
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827474
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827475
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827476
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827477
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827478
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827479
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827480
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827481
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827482
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827483
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827484
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827485
V. destructor,Apis mellifera,NA,Madagascar,VD_Korea_K1,VD_K_type,Year: NA Accession: JX827486
V. jacobsoni,A. cerana,1993,Malaysia,VJ_Borneo_1,VJ_Borneo_1,Year:1993 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1995,Malaysia,VJ_Malaysia_1,VJ_Malaysia_1,Year:1995 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1989;1995,Malaysia,VJ_Malaysia_1,VJ_Malaysia_1,Year:1989;1995 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. dorsata,2000,Malaysia,VJ_Borneo_2,VJ_Borneo_2,Year:2000 Ref:Koeniger et al. (2002)
V. rindereri,A. koschevnikovi,NA,Malaysia,VR_Malaysia,VR_Malaysia,Year:NA Ref:Anderson and Trueman (2000)
V. jacobsoni,NA,NA,Malaysia,VJ_Borneo_1,VJ_Borneo_1,Year: NA Accession: AF106907
V. jacobsoni,NA,NA,Malaysia,VJ_Malaysia_1,VJ_Malaysia_1,Year: NA Accession: AF106906
V. destructor,A. mellifera,2014,Mauritius,VD_Korea_K1-like,VD_K_type,Year:2014 Ref:Esnault et al. (2018)
V. destructor,Apis mellifera,NA,Mauritius,VD_Korea_K1-like,VD_K_type,Year: NA Accession: KU696312
